,Date,Open,High,Low,Close,Volume,Market Cap
221,2022-02-09,5.10906546029e-09,5.70551325968e-09,5.01368657288e-09,5.64158673707e-09,22807.85,0
222,2022-02-08,5.47874976918e-09,5.66901406675e-09,3.2110346e-13,5.10906546029e-09,23199.83,0
223,2022-02-07,4.83484063192e-09,5.58869621683e-09,4.83484063192e-09,5.47874976918e-09,37819.17,0
224,2022-02-06,4.45188373767e-09,6.3704023544e-09,4.31522550173e-09,4.83484063192e-09,25206.18,0
225,2022-02-05,4.15135193591e-09,4.58303659487e-09,2.11546e-15,4.45188373767e-09,16724.22,0
226,2022-02-04,3.58396645259e-09,4.15135193591e-09,3.55724402738e-09,4.15135193591e-09,22563.96,0
227,2022-02-03,3.61170835254e-09,3.65377492364e-09,3.34926764254e-09,3.58396645259e-09,16467.66,0
228,2022-02-02,3.80216067945e-09,4.4345705985e-09,3.53539860002e-09,3.61170835254e-09,11976.21,0
229,2022-02-01,3.59269312796e-09,3.90262977619e-09,3.58387152884e-09,3.80216067945e-09,70531.75,0
230,2022-01-31,4.30043007065e-09,4.47673663054e-09,3.23482067978e-09,3.59269312796e-09,69647.77,0
231,2022-01-30,4.54462355964e-09,4.56771957782e-09,4.28638110534e-09,4.30043007065e-09,15079.17,0
232,2022-01-29,4.42856029064e-09,4.95521757507e-09,4.41900798053e-09,4.54462355964e-09,27760.14,0
233,2022-01-28,4.88457028394e-09,4.93314629292e-09,4.88263e-15,4.42856029064e-09,25799.12,0
234,2022-01-27,4.75072730961e-09,5.03490792039e-09,4.55688264336e-09,4.88457028394e-09,20270.42,0
235,2022-01-26,4.68787993036e-09,5.00493571654e-09,4.59017853082e-09,4.75072730961e-09,51028.36,0
236,2022-01-25,4.26395984411e-09,6.27848300787e-09,3.78347738002e-09,4.68787993036e-09,57828.52,0
237,2022-01-24,4.40358985967e-09,4.57045965312e-09,3.2552102263e-09,4.26395984411e-09,35149.65,0
238,2022-01-23,4.27032573263e-09,4.6887008198e-09,4.09920500076e-09,4.40358985967e-09,69269.43,0
239,2022-01-22,6.29222300646e-09,6.32269902847e-09,4.15229469362e-09,4.27032573263e-09,90719.79,0
240,2022-01-21,7.89457819657e-09,8.00937829503e-09,6.29222300646e-09,6.29222300646e-09,80711.04,0
241,2022-01-20,8.51729674043e-09,8.77980324842e-09,7.64710609771e-09,7.89457819657e-09,101405.57,0
242,2022-01-19,6.22963427262e-09,8.60888888548e-09,6.09415660532e-09,8.51729674043e-09,96075.8,0
243,2022-01-18,5.38805295889e-09,6.7346244167e-09,5.38018164172e-09,6.22963427262e-09,79176.99,0
244,2022-01-17,6.20416836968e-09,6.22962649517e-09,5.09793207056e-09,5.38805295889e-09,73747.47,0
245,2022-01-16,5.98069466721e-09,6.37310651418e-09,2.252326732e-11,6.20416836968e-09,66160.76,0
246,2022-01-15,5.1464696096e-09,5.99791899505e-09,4.713e-17,5.98069466721e-09,95081.92,0
